Unnamed: 0;id;name;verified;followers_count;follow_count;post_count;hot_blog_count;is_spammer
0;5286921976;梦想导师JJ的小粉丝;0;31;41;62;8;0
1;7042005534;AwesomeKpop;0;13;40;578;1;0
2;6349014467;优秀图;1;6953;6152;343;100;0
3;6937931818;美人天下992;0;55;2947;6;0;1
4;7067279531;Tv非红6;0;28;146;3;1;0
5;5717797040;ZGY0420;0;27;66;7;1;0
6;1895342152;梦想家轩桥季;1;3655;2978;13356;11;0
7;3266018363;美丽你的一切;0;917;4694;1618;44;1
8;6584898218;用户0041684392;0;19;1590;12;1;1
9;6938681572;帅到无奈22384;0;48;2439;4;0;1
10;6981155800;用户6981155800;0;62;1985;27;1;1
11;7058307123;AsianFacts;0;51;99;28;28;0
12;1564245382;泡泡彩虹糖;0;230;248;818;0;0
13;5644611677;楚之远;0;566;52;83;44;0
14;6937472617;风泪无痕0399;0;40;1591;5;0;1
15;6935698857;寒江暮雪72821;0;62;3095;4;0;1
16;6658093788;主机游戏我知道;0;19;12;17;7;0
17;7043899128;安庆家的瓜田;0;93;283;323;10;0
18;7047341596;用户DataFriend;0;4;26;12;1;0
19;5696783487;达达Mr_X;0;97;70;83;0;0
0;6936722094;葛二蛋09394;0;63;2669;4;0;1
1;6785981463;用户6785981463;0;12;1993;3;0;1
2;1205606237;没错我就是吃可爱长大的呀;0;137;152;1334;15;0
3;7046916698;mirnayunita;0;6;6;3;0;0
4;7047802540;misbah95;0;4;5;1;1;0
5;7047808926;PamanPitung;0;5;22;0;0;0
6;6981729645;用户6981729645;0;58;1963;28;1;1
7;6981727825;风剑刀霜owu144;0;61;2741;40;0;1
8;6936581838;午夜牛郎03823;0;58;2004;6;0;1
9;6886937553;用户6886937553;0;51;2436;1;0;1
10;6934682999;冷酒依然醉心3510;0;57;2508;4;0;1
11;6353617177;很多很多个夏夏夏天;0;54;63;218;29;0
12;6886154856;农殳录;0;59;2656;1;0;1
13;2479880933;BeautyForYou000;0;186;714;277;7;0
14;5303189043;sunshine霏_82013;0;19;65;373;5;0
15;5247932687;Howard_233;0;32;52;18;0;0
16;5299054974;爱囧囧的某乐;0;70;16;7;0;0
17;5715608373;老七会有狗的-;0;59;59;233;46;0
18;5687428781;咕吧bababa;0;51;150;922;26;0
19;5502351083;飞天之鹰哈哈哈;0;38;95;138;2;0
20;1853533181;爱夏天的某囧;0;34;237;36;1;0
21;5520485203;风一样的小仙女女女女;0;152;328;186;4;0
22;6896373524;比特光影喵;0;86;65;103;71;0
23;2671109275;新手指南;1;184811338;3009;15741;100;0
