,id,name,verified,followers_count,follow_count,post_count,hot_blog_count,is_spammer
0,7065608433,Wm快树2_,0,42,937,2,1,1
1,7085376362,恫蹿烟柿瘟005,0,39,874,6,1,1
2,6923260250,敲鞘逗止钦890,0,34,876,6,0,1
3,5520485203,风一样的小仙女女女女,0,152,328,186,4,0
4,5687428781,咕吧bababa,0,51,150,922,26,0
5,5717797040,ZGY0420,0,27,66,7,1,0
6,2969316097,jinnfeng,0,102,440,282,9,0
7,5579111956,很好听的昵称呀,0,150,491,21,1,0
8,6802108534,殿堂级忧伤潝我,0,60,3235,5,0,1
9,5242372925,孙瑞金rj,0,18,18,0,0,0
10,5458394907,一心只爱搞科研,0,120,119,26,15,0
11,3627965170,成都吃喝玩乐fun,1,370698,6875,5235,62,0
12,5994955684,wulahaofeng,0,54,82,15,2,0
13,2679698250,Mr_YIN_WEI,0,297,1037,1054,3,0
14,5663220170,相原亦鹿,0,663,296,308,31,0
15,5748106514,小毛琦的大宝,0,64,65,7,0,0
16,6100974101,初元阿-,0,44,127,219,16,0
17,5520907918,侯集陈冠希,0,64,45,0,0,0
18,2437876711,慵懒成性421,0,542,371,138,0,0
19,3180267700,帅气的鄭北北,0,82,232,58,2,0
20,6374912743,大鱼与梦,0,7,9,5,0,0
21,5718365446,是小尤物呢_,0,179,303,23,0,0
22,5599516508,骑狗望羊,0,141,333,987,8,0
23,5628355900,一壶浊酒待余生,0,13,70,1,0,0
24,3627965170,成都吃喝玩乐fun,1,129568,6875,5235,62,0
25,5249478313,负重盲人的小号,0,78,94,85,1,0
0,1838901132,都怪我太萌萌哒,0,89,547,365,0,0
1,3255194962,HanBingJie312,0,197,369,360,7,0
2,1879590797,是洋不是扬,0,344,454,180,15,0
3,2265647172,相原冰冰-,0,2828,508,223,44,0
4,2763550735,是你的花酱,0,1543,334,146,14,0
5,3232864580,一只ONE王,0,1647,444,136,5,0
6,2685957025,一颗单馨,0,520,245,348,4,0
7,3245540022,zhu-子尧,0,189,279,195,1,0
8,5520615994,蛮球卷卷,0,354,294,2809,12,0
9,5055070936,ZhangJxxxx,0,50,79,0,0,0
10,3761162412,WangYK_0913,0,75,93,100,0,0
11,2771399475,瞅你_Eva,0,374,162,2650,50,0
12,5743639491,Maigre蓝心,0,1679,466,409,21,0
13,3879829934,Wuniu虎扑,0,1582,380,704,4,0
14,5859882213,加速度46166,0,3,7,0,0,0
15,5645210927,615lyu,0,6,66,3,0,0
16,5867662115,杭泉明密秀,0,217,113,96,20,0
17,1860136727,王可儿Zane,0,287,154,519,0,0
18,1643377841,蟹粉白汤圆,0,486,419,75,10,0
0,2036733691,JJ是小蜜瓜,0,395,166,4288,0,0
1,5168211555,人间老魏,0,2158,151,126,22,0
2,1978293615,边先森不会飞_,0,1151,311,112,14,0
3,5318060853,---Dyp---,0,163,205,169,8,0
4,2784987464,百万MOMO大,0,1178,143,12,1,0
5,5203182080,我南朋友是你,0,63,123,95,11,0
6,5235643906,你不吃葱我吃葱,0,274,241,140,13,0
7,5678253838,肉快跑o,0,686,464,30,5,0
8,2911514347,你要甘哦,0,58,115,40,0,0
9,1106866613,GodbewithKian,0,102,68,4,0,0
10,5653127080,嗯哼爱我你怕了么,0,20,56,8,0,0
11,5192341388,是慧慧哇ljh,0,289,421,180,27,0
12,2836883142,我和我家郑大人,0,326,681,658,5,0
13,1825345631,栗柚-,0,437,161,37,9,0
14,1964535881,CHALAZ10N,0,310,608,1971,30,0
15,5628947411,草莓跳呐,0,634,563,780,9,0
16,5218100321,但我超值,0,600,171,266,46,0
17,5523610054,永远好不了的咳,0,28,81,54,3,0
18,1837771112,Andrew安得鲁,0,42,61,156,0,0
