is_spammer,id,name,verified,followers_count,follow_count,post_count,favourites_count,bi_followers_count,user_ability,followRatio,friendRatio
1,5306381710,娇羞2015,0,1,84,0,0,0,0,42.00,0.00
1,6307069436,用户6307069436,0,1,66,0,0,0,0,33.00,0.00
1,6382601909,涳溟64359,0,1,350,0,0,0,0,175.00,0.00
1,6868092604,俞春凤869,0,1,60,0,0,0,0,30.00,0.00
1,6297326699,用户6297326,0,1,178,0,1,0,0,89.00,0.00
1,6130368093,用户6130368093,0,1,338,0,0,0,0,169.00,0.00
1,6490240957,用户6490240957,0,1,119,0,0,0,0,59.50,0.00
1,5123762073,森53822,0,1,63,19,0,0,0,31.50,0.00
1,6533543164,用户6533543164,0,1,375,0,0,0,0,187.50,0.00
1,6232383132,用户6232383132,0,1,121,0,0,0,0,60.50,0.00
1,6339186071,良心鲨,0,5,427,3,0,0,0,71.17,0.00
0,5997292295,董董5997292295,0,40,83,91,2,10,1048576,2.02,0.12
1,5151192871,天天地心中_128,0,3,146,6,0,0,0,36.50,0.00
0,6619458254,活溎景小小天敖,0,26,84,60,0,11,2097152,3.11,0.13
0,2351691635,喵喵长大2351691635,0,1,196,7,0,0,0,98.00,0.00
1,6242304516,用户6242304516,0,1,111,0,0,0,0,55.50,0.00
1,6245750803,爱上菜团子,0,4,390,6,0,0,0,78.00,0.00
0,1793307565,刘志豪1009,0,87,205,75,15,8,2098176,2.33,0.04
1,6141062261,谁是荷兰豆3399,0,1,244,0,0,0,0,122.00,0.00
1,6579516723,孟逸歆1990,0,9,627,0,0,0,0,62.70,0.00
1,6417693644,一只耳5647,0,1,64,0,0,0,0,32.00,0.00
0,1763778550,松果妮,0,219,164,622,7,62,0,0.75,0.38
1,6709008374,用户6709008374,0,1,113,0,0,0,0,56.50,0.00
1,7157908279,梨大大dn,0,1,61,0,0,0,0,30.50,0.00
1,7157907809,耶嘿哦吼啦vM,0,1,54,0,0,0,0,27.00,0.00
1,7156978239,用户7156978239,0,1,184,0,0,0,0,92.00,0.00
0,2324618074,小猫打虎,0,85,315,80,0,20,0,3.66,0.06
1,6573263698,刺青青2018,0,1,85,0,0,0,0,42.50,0.00
1,6308013320,专业生产玻璃茶壶,0,1,95,0,0,0,0,47.50,0.00
1,7155865242,用户7155865242,0,12,13,0,0,0,0,1.00,0.00
1,6561849394,婷宝贝201808,0,6,94,0,0,0,0,13.43,0.00
0,6080108409,曲奇在唱歌12,0,26,565,41,4,1,2097152,20.93,0.00
0,3142007343,jhua88888,0,20,114,26,1,5,33555458,5.43,0.04
1,6619374452,GlinmaD,0,1,62,0,0,0,0,31.00,0.00
0,7156978464,用户7156978464,0,1,360,1,0,1,0,180.00,0.00
0,7156978103,用户7156978103,0,1,13,0,0,0,0,6.50,0.00
1,6827050720,用户6827050720,0,1,61,10,0,0,0,30.50,0.00
0,1103779043,超级老张110,0,3,170,8,0,1,2101248,42.50,0.01
1,6016958360,用户6016958360,0,1,437,2,0,0,0,218.50,0.00
1,6170704375,用户20181008198006,0,1,68,0,0,0,0,34.00,0.00
1,6587366378,天晓得1992,0,1,89,1,1,0,0,44.50,0.00
0,3749915701,毋晦,0,37,122,9,0,14,0,3.21,0.11
1,6344469633,HENRY6555,0,1,181,0,0,0,0,90.50,0.00
0,2627501613,xx珊瑚虫,0,28,196,52,2,2,2097152,6.76,0.01
1,6990752346,云雨50807,0,1,76,1,0,0,0,38.00,0.00
0,6579408969,用户6579408969,0,6,441,10,0,0,0,63.00,0.00
1,6336501748,哑剧03616,0,1,145,4,0,0,0,72.50,0.00
1,5624137249,单人旅途78779,0,3,141,1,0,0,0,35.25,0.00
1,6078743960,开心6078743960,0,4,477,0,0,0,0,95.40,0.00
1,6468433249,用户6468433249,0,2,339,0,0,0,0,113.00,0.00
1,6603307600,A1私人订制半永久眉眼唇纹41467,0,1,77,0,0,0,0,38.50,0.00
1,5593612730,用户5593612730,0,1,136,1,0,0,0,68.00,0.00
1,7156977162,林超荣m08,0,1,38,0,0,0,0,19.00,0.00
1,2248537957,20160729秋去冬来,0,7,126,5,0,0,0,15.75,0.00
1,6065671129,用户6065671129,0,28,226,0,0,0,0,7.79,0.00
1,6460568161,迷离6201801,0,17,271,11,0,0,0,15.06,0.00
